time,state_fips,region_code,division_code,state_name,bldgs_1unit,units_1unit,value_1unit,bldgs_2unit,units_2unit,value_2unit,bldgs_34unit,units_34unit,value_34unit,bldgs_5punit,units_5punit,value_5punit,bldgs_1unit_rep,units_1unit_rep,value_1unit_rep,bldgs_2unit_rep,units_2unit_rep,value_2unit_rep,bldgs_34unit_rep,units_34unit_rep,value_34unit_rep,bldgs_5punit_rep,units_5punit_rep,value_5punit_rep,year
202399,29,2,4,Missouri,11022,11022,3496122,331,662,102161,146,547,78916,191,4550,589713,10093,10093,3277445,320,640,99243,135,514,77316,177,4469,584229,2023
201599,30,4,8,Montana,2992,2992,641374,116,232,31822,63,231,24401,78,1371,129792,2822,2822,608237,98,196,27336,57,211,21834,73,1340,127588,2015
201699,30,4,8,Montana,3113,3113,596712,95,190,29220,74,279,32273,61,1199,101986,3004,3004,573181,79,158,25347,70,267,30653,59,1187,101650,2016
201799,30,4,8,Montana,3161,3161,625684,176,352,51134,98,350,46654,63,1069,123918,2467,2467,573089,150,300,44708,92,332,44224,59,885,100469,2017
201899,30,4,8,Montana,3213,3213,649230,139,278,42432,115,428,60840,78,1180,117394,2485,2485,595591,104,208,33622,105,397,57366,74,1003,94900,2018
201999,30,4,8,Montana,3014,3014,631710,164,328,53835,102,376,49940,53,1058,120260,2292,2292,579463,154,308,51726,101,372,49400,51,871,96511,2019
202099,30,4,8,Montana,3318,3318,717620,208,416,67123,142,522,77418,96,1724,189725,2564,2564,668455,204,408,66153,140,514,76381,94,1532,165294,2020
202199,30,4,8,Montana,3169,3169,867672,174,348,68725,73,267,40903,134,3488,433899,2733,2733,761916,133,266,53026,41,149,20929,98,2738,349220,2021
202299,30,4,8,Montana,3190,3190,848775,124,248,47471,71,264,36269,136,2758,345339,2580,2580,738265,84,168,32376,41,161,19012,102,2027,268276,2022
202399,30,4,8,Montana,2274,2274,753052,73,146,30568,57,196,38688,65,1691,212937,1804,1804,631674,39,78,17649,27,98,22610,31,1037,143572,2023
201599,31,2,4,Nebraska,5198,5198,1044706,77,154,18250,7,24,1839,74,2720,252520,4628,4628,927560,63,126,15800,7,24,1839,62,2257,209007,2015
201699,31,2,4,Nebraska,5080,5080,1049459,86,172,21417,12,43,3670,89,2783,231649,4060,4060,836702,81,162,20517,12,43,3670,58,1573,104769,2016
201799,31,2,4,Nebraska,5436,5436,1124302,92,184,24787,30,110,9523,96,3133,287445,4211,4211,866254,78,156,20012,30,110,9523,63,1930,161101,2017
201899,31,2,4,Nebraska,4900,4900,1078249,82,164,22379,28,100,9306,73,2702,199911,4698,4698,1039993,78,156,21509,24,88,8783,72,2697,199620,2018
201999,31,2,4,Nebraska,4672,4672,1022374,82,164,26721,21,74,11646,81,3115,264415,3613,3613,785191,69,138,23000,21,74,11646,62,2277,170444,2019
202099,31,2,4,Nebraska,5745,5745,1286223,150,300,44205,27,96,12855,134,3342,300505,4514,4514,1009246,133,266,39537,26,93,12375,116,2597,215953,2020
202199,31,2,4,Nebraska,6328,6328,1542380,59,118,16338,49,177,24376,169,4100,432907,6089,6089,1480052,59,118,16338,48,173,23931,169,4100,432907,2021
202299,31,2,4,Nebraska,5073,5073,1332834,161,322,44358,74,282,28771,180,5438,464825,4736,4736,1250397,161,322,44358,74,282,28771,172,5397,460846,2022
202399,31,2,4,Nebraska,4666,4666,1223512,107,214,35302,46,160,26189,170,3837,415151,4522,4522,1188610,107,214,35302,46,160,26189,169,3832,414521,2023
201599,32,4,8,Nevada,10422,10422,1822204,24,48,5452,9,33,3802,252,3580,310299,10418,10418,1821660,24,48,5452,9,33,3802,252,3580,310299,2015
201699,32,4,8,Nevada,11374,11374,2333929,46,92,12463,25,77,9023,350,6409,516515,11346,11346,2325832,46,92,12463,25,77,9023,350,6409,516515,2016
201799,32,4,8,Nevada,12766,12766,2179792,46,92,8666,58,198,32942,318,6488,624398,12758,12758,2177882,46,92,8666,58,198,32942,318,6488,624398,2017
201899,32,4,8,Nevada,12997,12997,2964249,21,42,5693,15,50,5945,280,4556,424723,12988,12988,2962065,21,42,5693,15,50,5945,280,4556,424723,2018
201999,32,4,8,Nevada,13088,13088,2860591,29,58,5957,74,242,32909,287,6755,782379,13088,13088,2860591,29,58,5957,74,242,32909,287,6755,782379,2019
202099,32,4,8,Nevada,13706,13706,3464558,293,586,34935,194,641,74509,274,4783,483454,11610,11610,2874845,269,538,29898,178,588,67590,168,2940,252596,2020
202199,32,4,8,Nevada,16295,16295,4476019,110,220,29076,199,677,96530,364,6214,691807,13995,13995,3829022,81,162,23011,176,602,86698,223,3704,374814,2021
202299,32,4,8,Nevada,12419,12419,3552343,114,228,34634,71,267,32739,385,7117,793453,10531,10531,3022033,88,176,29190,53,203,24355,245,4593,475427,2022
202399,32,4,8,Nevada,13039,13039,3878726,80,160,23525,81,292,44560,230,4960,740114,11200,11200,3364415,57,114,18710,63,234,36951,101,2799,467689,2023
201599,33,1,1,New Hampshire,2424,2424,567144,39,78,10894,13,45,5022,45,1216,153871,2270,2270,528497,39,78,10894,13,45,5022,40,1094,123172,2015
201699,33,1,1,New Hampshire,2680,2680,616513,68,136,16768,21,70,6557,36,910,119688,2410,2410,558493,68,136,16768,20,67,6076,30,769,93053,2016
